,0
2024-09-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,DOGE/USDT:USDT,SATS/USDT:USDT,ORDI/USDT:USDT,XRP/USDT:USDT,NOT/USDT:USDT,CRV/USDT:USDT,SUI/USDT:USDT,PEOPLE/USDT:USDT,WIF/USDT:USDT,WLD/USDT:USDT,MEW/USDT:USDT,AAVE/USDT:USDT,TURBO/USDT:USDT,TRB/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,TIA/USDT:USDT,LTC/USDT:USDT,ZRO/USDT:USDT,FIL/USDT:USDT,AVAX/USDT:USDT,APT/USDT:USDT,SHIB/USDT:USDT,NEAR/USDT:USDT,OP/USDT:USDT,ADA/USDT:USDT"
2024-10-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,SUI/USDT:USDT,DOGE/USDT:USDT,ORDI/USDT:USDT,PEOPLE/USDT:USDT,SATS/USDT:USDT,WLD/USDT:USDT,XRP/USDT:USDT,WIF/USDT:USDT,AAVE/USDT:USDT,TURBO/USDT:USDT,SHIB/USDT:USDT,NOT/USDT:USDT,TIA/USDT:USDT,BIGTIME/USDT:USDT,CRV/USDT:USDT,BNB/USDT:USDT,MEW/USDT:USDT,ZRO/USDT:USDT,APT/USDT:USDT,NEAR/USDT:USDT,BCH/USDT:USDT,FIL/USDT:USDT,LTC/USDT:USDT,AVAX/USDT:USDT,TRB/USDT:USDT,OP/USDT:USDT"
2024-11-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,SUI/USDT:USDT,TURBO/USDT:USDT,WLD/USDT:USDT,PEOPLE/USDT:USDT,APE/USDT:USDT,NEIRO/USDT:USDT,ORDI/USDT:USDT,MEW/USDT:USDT,WIF/USDT:USDT,APT/USDT:USDT,MOODENG/USDT:USDT,SHIB/USDT:USDT,TIA/USDT:USDT,XRP/USDT:USDT,POPCAT/USDT:USDT,BOME/USDT:USDT,SATS/USDT:USDT,EIGEN/USDT:USDT,BCH/USDT:USDT,UNI/USDT:USDT,BIGTIME/USDT:USDT,AAVE/USDT:USDT,LTC/USDT:USDT,NOT/USDT:USDT,MEME/USDT:USDT"
2024-12-01,"BTC/USDT:USDT,ETH/USDT:USDT,DOGE/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,PEPE/USDT:USDT,PNUT/USDT:USDT,SUI/USDT:USDT,SHIB/USDT:USDT,XLM/USDT:USDT,ADA/USDT:USDT,WLD/USDT:USDT,ORDI/USDT:USDT,WIF/USDT:USDT,BONK/USDT:USDT,MOODENG/USDT:USDT,NEIRO/USDT:USDT,PEOPLE/USDT:USDT,LTC/USDT:USDT,GRASS/USDT:USDT,FIL/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,DOT/USDT:USDT,SAND/USDT:USDT,OP/USDT:USDT,APT/USDT:USDT,HBAR/USDT:USDT,ENS/USDT:USDT,ETC/USDT:USDT"
2025-01-01,"BTC/USDT:USDT,ETH/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,SUI/USDT:USDT,MOVE/USDT:USDT,PNUT/USDT:USDT,ADA/USDT:USDT,AAVE/USDT:USDT,LINK/USDT:USDT,HBAR/USDT:USDT,SHIB/USDT:USDT,WLD/USDT:USDT,LTC/USDT:USDT,CRV/USDT:USDT,ORDI/USDT:USDT,ME/USDT:USDT,FIL/USDT:USDT,TRX/USDT:USDT,MORPHO/USDT:USDT,BNB/USDT:USDT,WIF/USDT:USDT,AGLD/USDT:USDT,UNI/USDT:USDT,ACT/USDT:USDT,TURBO/USDT:USDT,AVAX/USDT:USDT,XLM/USDT:USDT"
2025-02-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,PEPE/USDT:USDT,SUI/USDT:USDT,FARTCOIN/USDT:USDT,AIXBT/USDT:USDT,ADA/USDT:USDT,PNUT/USDT:USDT,LTC/USDT:USDT,WLD/USDT:USDT,WIF/USDT:USDT,AAVE/USDT:USDT,ACT/USDT:USDT,MOVE/USDT:USDT,LINK/USDT:USDT,PENGU/USDT:USDT,XLM/USDT:USDT,HBAR/USDT:USDT,ORDI/USDT:USDT,SHIB/USDT:USDT,FIL/USDT:USDT,ONDO/USDT:USDT,BIO/USDT:USDT,MORPHO/USDT:USDT,AGLD/USDT:USDT,CRV/USDT:USDT,VIRTUAL/USDT:USDT"
2025-03-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,TRUMP/USDT:USDT,PEPE/USDT:USDT,LTC/USDT:USDT,SUI/USDT:USDT,BERA/USDT:USDT,FARTCOIN/USDT:USDT,ADA/USDT:USDT,WIF/USDT:USDT,PNUT/USDT:USDT,BNB/USDT:USDT,WLD/USDT:USDT,AIXBT/USDT:USDT,AAVE/USDT:USDT,ACH/USDT:USDT,ORDI/USDT:USDT,LINK/USDT:USDT,ONDO/USDT:USDT,ACT/USDT:USDT,FIL/USDT:USDT,LDO/USDT:USDT,DOT/USDT:USDT,ME/USDT:USDT,SHIB/USDT:USDT,PEOPLE/USDT:USDT,PENGU/USDT:USDT"
2025-04-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,ADA/USDT:USDT,AUCTION/USDT:USDT,TRUMP/USDT:USDT,PI/USDT:USDT,SUI/USDT:USDT,PNUT/USDT:USDT,LTC/USDT:USDT,KAITO/USDT:USDT,FARTCOIN/USDT:USDT,BNB/USDT:USDT,LINK/USDT:USDT,AAVE/USDT:USDT,API3/USDT:USDT,ORDI/USDT:USDT,BCH/USDT:USDT,WLD/USDT:USDT,LAYER/USDT:USDT,WIF/USDT:USDT,MOVE/USDT:USDT,AVAX/USDT:USDT,ZRO/USDT:USDT,CRV/USDT:USDT,FIL/USDT:USDT,SHIB/USDT:USDT"
2025-05-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,TRUMP/USDT:USDT,PEPE/USDT:USDT,SUI/USDT:USDT,FARTCOIN/USDT:USDT,BABY/USDT:USDT,ADA/USDT:USDT,PI/USDT:USDT,LTC/USDT:USDT,LAYER/USDT:USDT,MAGIC/USDT:USDT,CRV/USDT:USDT,WLD/USDT:USDT,BNB/USDT:USDT,PNUT/USDT:USDT,AAVE/USDT:USDT,LINK/USDT:USDT,FIL/USDT:USDT,BCH/USDT:USDT,AUCTION/USDT:USDT,AVAX/USDT:USDT,WIF/USDT:USDT,PARTI/USDT:USDT,TURBO/USDT:USDT,ONDO/USDT:USDT,ACT/USDT:USDT"
2025-06-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,MOODENG/USDT:USDT,XRP/USDT:USDT,SUI/USDT:USDT,TRUMP/USDT:USDT,KAITO/USDT:USDT,PI/USDT:USDT,WCT/USDT:USDT,PNUT/USDT:USDT,WIF/USDT:USDT,AAVE/USDT:USDT,WLD/USDT:USDT,ADA/USDT:USDT,LTC/USDT:USDT,LAYER/USDT:USDT,FARTCOIN/USDT:USDT,PEOPLE/USDT:USDT,ETHFI/USDT:USDT,TRB/USDT:USDT,UNI/USDT:USDT,HYPE/USDT:USDT,NEIRO/USDT:USDT,LPT/USDT:USDT,BNB/USDT:USDT,LINK/USDT:USDT,ORDI/USDT:USDT"
