combinaison,paire,trades,win_rate,R_total,R_moyen,pnl_net
A-risk5%,UNI_USDT_USDT,11,0.18181818181818182,-4.00182377828534,-0.36380216166230367,-32.99099676808329
A-risk5%,ZEC_USDT_USDT,5,0.0,-4.224846289759427,-0.8449692579518855,-8.455277120140277
A-risk5%,TAO_USDT_USDT,6,0.16666666666666666,-5.105431992175568,-0.8509053320292613,-14.014986318418366
A-risk5%,ETH_USDT_USDT,9,0.1111111111111111,-5.728390690818891,-0.6364878545354323,-17.060768332153373
A-risk5%,ORDI_USDT_USDT,12,0.08333333333333333,-6.059830093594345,-0.5049858411328622,-38.08049713369658
A-risk5%,GIGGLE_USDT_USDT,7,0.0,-7.250261568754101,-1.0357516526791573,-13.715483171007378
B-risk10%,SOL_USDT_USDT,6,0.5,3.9965218100854294,0.6660869683475715,19.2902153398373
B-risk10%,FIL_USDT_USDT,4,0.5,2.289901860257297,0.5724754650643242,7.7340501143143525
B-risk10%,BCH_USDT_USDT,3,0.3333333333333333,1.9477888854361556,0.6492629618120519,6.634050159492022
B-risk10%,ZEN_USDT_USDT,1,1.0,1.8420506678239363,1.8420506678239363,0.6981722225863929
B-risk10%,LIT_USDT_USDT,2,0.5,1.7579679623446243,0.8789839811723121,0.7175536610781568
B-risk10%,LINK_USDT_USDT,4,0.5,0.9329849373960317,0.23324623434900793,3.060744400317292
B-risk10%,AVAX_USDT_USDT,2,0.5,0.8189424240942944,0.4094712120471472,7.934294406296559
B-risk10%,OKB_USDT_USDT,1,1.0,0.6835654079748228,0.6835654079748228,0.2687117819181501
B-risk10%,TRUMP_USDT_USDT,3,0.3333333333333333,0.08656504831690359,0.02885501610563453,-3.7803024868694557
B-risk10%,UNI_USDT_USDT,4,0.25,-0.2633450894314976,-0.0658362723578744,-2.5757490471728843
B-risk10%,INJ_USDT_USDT,3,0.3333333333333333,-0.3604390113079634,-0.12014633710265447,-5.55797003242388
B-risk10%,WLD_USDT_USDT,5,0.2,-0.6574500395825574,-0.1314900079165115,-6.304688347459009
B-risk10%,YFI_USDT_USDT,2,0.5,-0.7797805590807043,-0.38989027954035216,-2.5271129627632143
B-risk10%,DASH_USDT_USDT,2,0.0,-1.0538142628760685,-0.5269071314380342,-0.7022426710384189
B-risk10%,ICP_USDT_USDT,2,0.0,-1.1100086314960078,-0.5550043157480039,-8.52860958772425
B-risk10%,ETH_USDT_USDT,5,0.2,-1.2399290766454831,-0.24798581532909664,-7.720002244563275
B-risk10%,TAO_USDT_USDT,2,0.0,-2.0737958027836005,-1.0368979013918003,-2.0574201291274354
B-risk10%,HYPE_USDT_USDT,2,0.0,-2.077588859562967,-1.0387944297814835,-5.662639130114164
B-risk10%,BTC_USDT_USDT,2,0.0,-2.1564995159725715,-1.0782497579862858,-19.203375161240306
B-risk10%,AAVE_USDT_USDT,10,0.2,-2.4483529208567028,-0.2448352920856703,-17.65940230967612
B-risk10%,GIGGLE_USDT_USDT,3,0.0,-3.1097780296120217,-1.0365926765373406,-2.1611132881286945
B-risk10%,ORDI_USDT_USDT,3,0.0,-3.133813489192002,-1.044604496397334,-14.406443581248668
B-risk10%,ZEC_USDT_USDT,3,0.0,-3.1428070062045057,-1.0476023354015018,-1.9688192042406665
B-risk10%,AR_USDT_USDT,4,0.0,-3.148557149697802,-0.7871392874244505,-10.637480530433557
B-risk10%,ENS_USDT_USDT,6,0.0,-4.288302889854068,-0.7147171483090112,-8.58988346241452
B-risk10%,SUI_USDT_USDT,9,0.1111111111111111,-5.647277803966242,-0.6274753115518047,-22.103122903944495
B-risk2%,SOL_USDT_USDT,6,0.5,3.9965218100854294,0.6660869683475715,6.9887272660652116
B-risk2%,FIL_USDT_USDT,4,0.5,2.289901860257297,0.5724754650643242,3.820721986357116
B-risk2%,BCH_USDT_USDT,3,0.3333333333333333,1.9477888854361547,0.6492629618120516,3.2861661958584425
B-risk2%,ZEN_USDT_USDT,1,1.0,1.8420506678239366,1.8420506678239366,2.1984534248432084
B-risk2%,LIT_USDT_USDT,2,0.5,1.7579679623446238,0.8789839811723119,2.0900255572944673
B-risk2%,LINK_USDT_USDT,4,0.5,0.9329849373960322,0.23324623434900804,1.6672477974271278
B-risk2%,AVAX_USDT_USDT,2,0.5,0.8189424240942949,0.4094712120471474,1.7363629585223959
B-risk2%,OKB_USDT_USDT,1,1.0,0.6835654079748227,0.6835654079748227,0.8217107864611081
B-risk2%,TRUMP_USDT_USDT,3,0.3333333333333333,0.08656504831690315,0.028855016105634384,-0.24414205357114827
B-risk2%,UNI_USDT_USDT,4,0.25,-0.26334508943149804,-0.06583627235787451,-0.5718567029866038
B-risk2%,INJ_USDT_USDT,3,0.3333333333333333,-0.36043901130796296,-0.12014633710265432,-1.0198255826733853
B-risk2%,WLD_USDT_USDT,5,0.2,-0.6574500395825565,-0.1314900079165113,-1.3362619241680185
B-risk2%,YFI_USDT_USDT,2,0.5,-0.7797805590807043,-0.38989027954035216,-1.44844957971325
B-risk2%,DASH_USDT_USDT,2,0.0,-1.0538142628760687,-0.5269071314380344,-1.3913217738848602
B-risk2%,ICP_USDT_USDT,2,0.0,-1.1100086314960078,-0.5550043157480039,-2.2724311330789275
B-risk2%,ETH_USDT_USDT,5,0.2,-1.2399290766454836,-0.24798581532909672,-2.0712638550770643
B-risk2%,TAO_USDT_USDT,2,0.0,-2.073795802783601,-1.0368979013918005,-2.9419574647485085
B-risk2%,HYPE_USDT_USDT,2,0.0,-2.077588859562967,-1.0387944297814835,-3.25979233303006
B-risk2%,BTC_USDT_USDT,2,0.0,-2.1564995159725715,-1.0782497579862858,-4.382273405225457
B-risk2%,AAVE_USDT_USDT,10,0.2,-2.448352920856703,-0.24483529208567031,-4.362633551450782
B-risk2%,GIGGLE_USDT_USDT,3,0.0,-3.1097780296120217,-1.0365926765373406,-4.095264116158556
B-risk2%,ORDI_USDT_USDT,3,0.0,-3.1338134891920024,-1.0446044963973342,-5.474154705959401
B-risk2%,ZEC_USDT_USDT,3,0.0,-3.1428070062045057,-1.0476023354015018,-4.094946007104267
B-risk2%,AR_USDT_USDT,4,0.0,-3.148557149697802,-0.7871392874244505,-5.2667613380777265
B-risk2%,ENS_USDT_USDT,6,0.0,-4.288302889854068,-0.7147171483090112,-6.889058356511914
B-risk2%,SUI_USDT_USDT,9,0.1111111111111111,-5.647277803966243,-0.6274753115518048,-9.93464926655944
B-risk5%,SOL_USDT_USDT,6,0.5,3.9965218100854294,0.6660869683475715,14.139232618599639
B-risk5%,FIL_USDT_USDT,4,0.5,2.289901860257297,0.5724754650643242,7.0689473184962015
B-risk5%,BCH_USDT_USDT,3,0.3333333333333333,1.9477888854361556,0.6492629618120519,6.108405086747048
B-risk5%,ZEN_USDT_USDT,1,1.0,1.8420506678239368,1.8420506678239368,2.2245029464652526
B-risk5%,LIT_USDT_USDT,2,0.5,1.757967962344624,0.878983981172312,2.140116579709874
B-risk5%,LINK_USDT_USDT,4,0.5,0.9329849373960317,0.23324623434900793,3.192806976765498
B-risk5%,AVAX_USDT_USDT,2,0.5,0.8189424240942951,0.40947121204714754,4.501741891887243
B-risk5%,OKB_USDT_USDT,1,1.0,0.6835654079748227,0.6835654079748227,0.8405470833501612
B-risk5%,TRUMP_USDT_USDT,3,0.3333333333333333,0.08656504831690359,0.02885501610563453,-1.6295489111801418
B-risk5%,UNI_USDT_USDT,4,0.25,-0.2633450894314984,-0.0658362723578746,-1.4772457136805814
B-risk5%,INJ_USDT_USDT,3,0.3333333333333333,-0.36043901130796274,-0.12014633710265425,-3.0585535708524256
B-risk5%,WLD_USDT_USDT,5,0.2,-0.6574500395825565,-0.1314900079165113,-3.384453609191709
B-risk5%,YFI_USDT_USDT,2,0.5,-0.7797805590807043,-0.38989027954035216,-2.8699551264736396
B-risk5%,DASH_USDT_USDT,2,0.0,-1.053814262876069,-0.5269071314380345,-1.6566336492083893
B-risk5%,ICP_USDT_USDT,2,0.0,-1.1100086314960078,-0.5550043157480039,-5.46908882655573
B-risk5%,ETH_USDT_USDT,5,0.2,-1.2399290766454838,-0.24798581532909675,-4.158778190054763
B-risk5%,TAO_USDT_USDT,2,0.0,-2.0737958027836005,-1.0368979013918003,-3.929614361625093
B-risk5%,HYPE_USDT_USDT,2,0.0,-2.077588859562967,-1.0387944297814835,-5.580157934469405
B-risk5%,BTC_USDT_USDT,2,0.0,-2.1564995159725715,-1.0782497579862858,-10.78511930871582
B-risk5%,AAVE_USDT_USDT,10,0.2,-2.448352920856702,-0.24483529208567018,-9.620728711215461
B-risk5%,GIGGLE_USDT_USDT,3,0.0,-3.1097780296120225,-1.0365926765373408,-4.902808217870845
B-risk5%,ORDI_USDT_USDT,3,0.0,-3.133813489192002,-1.044604496397334,-10.88141468231994
B-risk5%,ZEC_USDT_USDT,3,0.0,-3.1428070062045057,-1.0476023354015018,-4.781612179825373
B-risk5%,AR_USDT_USDT,4,0.0,-3.148557149697802,-0.7871392874244505,-9.671760709265014
